FileName,ModId,ModVersion,DisplayName,Slug,ProjectId,FileId,Sha1,LookupUrl
crashutilities-9.0.4.jar,crashutilities,9.0.4,Crash Utilities,,371813,5993450,5117a448b0611f60fbe743a4a631e431dd31740e,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Crash%20Utilities
cupboard-1.21.1-3.8.jar,cupboard,3.8,Cupboard mod,,326652,8260590,39df849e5a338dfe9ccb7632b1849c20357e597b,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Cupboard%20mod
domum-ornamentum-1.0.234-snapshot-main.jar,domum_ornamentum,${file.jarVersion},Domum Ornamentum,,527361,8311478,e9564ce1269840b4e70791b79c83716a972618df,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Domum%20Ornamentum
dyenamics-1.21.1-3.4.2.jar,dyenamics,1.21.1-3.4.2,Dyenamics,,509276,7138991,dc3ef3ca37de6c287180ae81d0328f575698c107,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Dyenamics
dyenamicsandfriends-1.21.1-2.2.2.jar,dyenamicsandfriends,1.21.1-2.2.2,Dyenamics and Friends,,709617,7204108,cc43cabf3d36c33d51bc923f21f819766d3ce75d,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Dyenamics%20and%20Friends
dysoncubeproject-1.0.5.jar,dysoncubeproject,1.0.5,Dyson Cube Project,,1345066,8082907,d44cd95808bfb583990829da776b69da95b97e6a,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Dyson%20Cube%20Project
enderdrives-neoforge-1.21.1-1.4.4.jar,enderdrives,1.4.4,EnderDrives,,1226739,7033446,910f3c970434f0def3250e77226b6e3201a3f687,https://www.curseforge.com/minecraft/search?class=mc-mods&search=EnderDrives
,,,,,,,,
everythingcopper-1.21.1-2.4.5.jar,everythingcopper,1.21.1-2.4.5,Everything is Copper,,579545,6958511,b1e47814467032ed8d24f5a2ce3f466e44be9239,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Everything%20is%20Copper
,,,,,,,,
extraspecialcore-1.2.2+1.21.1-neoforge.jar,extraspecialcore,1.2.2,ExtraSpecialCore,,1535889,8489461,9960370cb74d8ed5426e825f85d95d43ce2c278b,https://www.curseforge.com/minecraft/search?class=mc-mods&search=ExtraSpecialCore
factory_blocks-neoforge-1.4.0+mc1.21.1.jar,factory_blocks,1.4.0+mc1.21.1,Factory Blocks,,640001,6266334,51fa93c3b0978f4f7e3b801bea6822ec72522e50,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Factory%20Blocks
FluxNetworks-1.21.1-8.0.0.jar,fluxnetworks,8.0.0,Flux Networks,flux-networks,248020,6089446,183342f454428084748f2784c8efd748664a9f9c,https://www.curseforge.com/minecraft/mc-mods/flux-networks/files/all?page=1&pageSize=20
framework-neoforge-1.21.1-0.13.11.jar,framework,0.13.11,Framework,,549225,7530361,e46eb138fbb13a12f37154fb4ec407d64b326475,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Framework
ftb-chunks-neoforge-2101.1.14.jar,ftbchunks,2101.1.14,FTB Chunks,,314906,7608681,908b63b11d0e00ae6c9557d3fe6440bdbcf21bb7,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Chunks
ftb-essentials-neoforge-2101.1.9.jar,ftbessentials,2101.1.9,FTB Essentials,,410811,7608733,7d6f274b38d767215549ec066246390c49ac7ad8,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Essentials
ftb-filter-system-neoforge-21.1.4.jar,ftbfiltersystem,21.1.4,FTB Filter System,ftb-filter-system,943925,7429011,a48e54edeacc59aaba29a1b627799c052112ee0b,https://www.curseforge.com/minecraft/mc-mods/ftb-filter-system/files/all?page=1&pageSize=20
ftb-jei-extras-21.1.7.jar,ftbjeiextras,21.1.7,FTB Jei Extras,,1103259,6695679,ef01126201a805991bbfe5351cff7d0a9e3a077b,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Jei%20Extras
ftb-library-neoforge-2101.1.31.jar,ftblibrary,2101.1.31,FTB Library,,404465,7746959,686d4e784c28c14f7760cc22b2de6a8573b56b74,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Library
ftb-quests-neoforge-2101.1.24.jar,ftbquests,2101.1.24,FTB Quests,,289412,7878289,abe5eeccbddf10ae4e40c350cdb6e95ee9e4cde1,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Quests
ftb-ranks-neoforge-2101.1.3.jar,ftbranks,2101.1.3,FTB Ranks,,314905,6431744,07fdfa3a75c3481770ce0118090a347d89e3a560,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Ranks
ftb-teams-neoforge-2101.1.10.jar,ftbteams,2101.1.10,FTB Teams,,404468,7878281,363376ae0fb22cb0527170fdf6a066d1da9b0225,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Teams
ftb-ultimine-neoforge-2101.1.14.jar,ftbultimine,2101.1.14,FTB Ultimine,,386134,8078515,5ad3196e1aa68884065b1713d6754ff2f341059b,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Ultimine
ftbquestslangsplitter-1.0.5.jar,ftbquestslangsplitter,1.0.5,FTB Quests Lang Splitter,,1326856,6975768,74652f1f845c7a31f12b50163164eba06beebbd7,https://www.curseforge.com/minecraft/search?class=mc-mods&search=FTB%20Quests%20Lang%20Splitter
generatorgalore-1.21.1-1.6.3.jar,generatorgalore,1.21.1-1.6.3,Generator Galore,,691049,6799851,31418972d718190c6f13d8a34f434b266af317e0,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Generator%20Galore
GravitationalModulatingAdditionalUnit-1.21.1-6.4.jar,gmut,6.4,Gravitational Modulating Additional Unit,gravitational-modulating-additional-unit,656136,6895172,244d8b57aa7d34e247f3dd09cacf647a9ba1cfab,https://www.curseforge.com/minecraft/mc-mods/gravitational-modulating-additional-unit/files/all?page=1&pageSize=20
industrialization_overdrive-1.12.1+1.21.1.jar,industrialization_overdrive,1.12.1+1.21.1,Industrialization Overdrive,,1089065,8409629,12b73c835e9cc4c4cf87d31d065d88648daa9793,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Industrialization%20Overdrive
irons_jewelry-1.21.1-2.0.1.jar,irons_jewelry,1.21.1-2.0.1,Iron's Gems 'n Jewelry,,1101111,8314018,0b21f0535bcf9a1097cb634c5800b360f536e577,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Iron's%20Gems%20'n%20Jewelry
kubejstweaks-1.0.6.jar,kubejstweaks,1.0.6,KubeJS Tweaks,,1306367,7516288,6548ec47aa6b0498c3018cde40d9d0a203b67446,https://www.curseforge.com/minecraft/search?class=mc-mods&search=KubeJS%20Tweaks
laserio-1.9.11.jar,laserio,1.9.11,LaserIO,,626839,5730007,0545bff65926346c9663fe3c397029561a87400f,https://www.curseforge.com/minecraft/search?class=mc-mods&search=LaserIO
mekanisticrouters-1.2.0.jar,mekanisticrouters,1.2.0,Mekanistic Routers,,1148201,7511369,a3506c0c37f92a390f021affa752cf55cc0a0b12,https://www.curseforge.com/minecraft/search?class=mc-mods&search=Mekanistic%20Routers
