"File","Nested","ContainerJar","Loader","ModIds","DisplayName","Version","Authors","Credits","LicenseDeclared","LicenseNormalized","LicenseCategory","Homepage","IssueTracker","BundledLicenseFiles","LicenseFileCount","RootLicenseFiles","ComponentLicenseFiles","AmbiguousLicenseFiles","SplitLicenseHint","SniffedLicenseFiles","Sha1","PackVersion","ModrinthProjectId","ModrinthSlug","ModrinthTitle","ModrinthLicenseId","ModrinthLicenseName","ModrinthLicenseUrl","ModrinthLicenseCategory","ModrinthUrl","LicenseAgreement"
"extra_gauges-2.1.2.jar","False","","NeoForge","extra_gauges, neoforge, minecraft, create, deployer","Create: Extra Gauges","2.1.2","Liukrast, Francywott","","MIT","MIT","Permissive","https://liukrast.net/","https://github.com/LIUKRAST/CreateExtraGauges/issues","","0","","","","False","","d6bc0896c33213d6b5623dba053dab2df9502bd4","v0.0.1-Alpha","6YJgomwt","extra-gauges","Create: Extra Gauges","MIT","MIT License","https://github.com/LIUKRAST/CreateExtraGauges/blob/master/LICENCE","Permissive","https://modrinth.com/mod/extra-gauges","Match"
"ExtraDisks-1.21.1-4.0.15.jar","False","","NeoForge","extradisks, neoforge, minecraft, refinedstorage, refinedstorage_mekanism_integration","Extra Disks","1.21.1-4.0.15","MelanX","","The Apache License, Version 2.0","Apache-2.0","Permissive","https://github.com/ChaoticTrials/ExtraDisks","https://github.com/ChaoticTrials/ExtraDisks/issues","","0","","","","False","","d2b4a80b1770e8cae2bc233774ed7ed4abd81510","v0.0.1-Alpha","Tlo2tahX","extra-disks","Extra Disks","MIT","MIT License","","Permissive","https://modrinth.com/mod/extra-disks","NEAR-MATCH"
"extraspecialcore-1.2.2+1.21.1-neoforge.jar","False","","NeoForge","extraspecialcore, neoforge, minecraft","ExtraSpecialCore","1.2.2","Extra_Special_K, TWGMike, Manialate","","MIT","MIT","Permissive","https://unbound.creatopia.uk","","","0","","","","False","","9960370cb74d8ed5426e825f85d95d43ce2c278b","v0.0.1-Alpha","","","","","","","","","NotOnModrinth"
"ExtraStorage-1.21.1-5.0.10.jar","False","","NeoForge","extrastorage, neoforge, minecraft, refinedstorage, edivadlib","ExtraStorage","5.0.10","Edivad99","","GNU AGPLv3","AGPL","Strong copyleft","","https://github.com/Edivad99/ExtraStorage/issues","","0","","","","False","","a3023c6c2db29c6551b0a8bcd9ab12f0eeeca093","v0.0.1-Alpha","T34cBZKl","extrastorage","ExtraStorage","AGPL-3.0-only","GNU Affero General Public License v3.0 only","","Strong copyleft","https://modrinth.com/mod/extrastorage","Match"
"ExtremeReactors2-1.21.1-2.4.9.jar","False","","NeoForge","bigreactors, minecraft, neoforge, zerocore","Extreme Reactors","1.21.1-2.4.9","ZeroNoRyouki","","MIT","MIT","Permissive","","https://github.com/ZeroNoRyouki/ExtremeReactors2","","0","","","","False","","9a079dfcbb4fa350dfbe76b2674d20f1028cad62","v0.0.1-Alpha","idkvShUy","extreme-reactors","Extreme Reactors","MIT","MIT License","","Permissive","https://modrinth.com/mod/extreme-reactors","Match"
"ExtremeSoundMuffler-3.56_NeoForge-1.21.jar","False","","NeoForge","extremesoundmuffler, neoforge, minecraft","Extreme Sound Muffler","3.56","LeoBeliik","","GNU LESSER GENERAL PUBLIC LICENSE","LGPL","Weak copyleft","","https://github.com/LeoBeliik/ExtremeSoundMuffler/issues","","0","","","","False","","f8b558f8c464f202f4a88a44332b3a495c0dc727","v0.0.1-Alpha","5IIKsxiL","extreme_sound_muffler","Extreme sound muffler","LGPL-3.0-only","GNU Lesser General Public License v3.0 only","","Weak copyleft","https://modrinth.com/mod/extreme_sound_muffler","Match"
"factory_blocks-neoforge-1.4.0+mc1.21.1.jar","False","","NeoForge","factory_blocks, minecraft, neoforge, architectury","Factory Blocks","1.4.0+mc1.21.1","slaincow","","MIT","MIT","Permissive","","https://github.com/matthewperiut/Chisel-Reborn/issues","","0","","","","False","","51fa93c3b0978f4f7e3b801bea6822ec72522e50","v0.0.1-Alpha","","","","","","","","","NotOnModrinth"
"fancymenu_neoforge_3.9.6_MC_1.21.1.jar","False","","NeoForge","fancymenu, konkrete, melody, findme, drippyloadingscreen, fancy_entity_renderer, watermedia, neoforge, minecraft","FancyMenu","3.9.6","Keksuccino","","DSMSLv3 (DON'T SNATCH MA STUFF LICENSE v3)","DSMSLv3 (DON'T SNATCH MA STUFF LICENSE v3)","Custom - review manually","","","","0","","","","False","","cb5150d3860eec5b8c65ba5149d183549b7d7181","v0.0.1-Alpha","Wq5SjeWM","fancymenu","FancyMenu","LicenseRef-DSMSLv3","","https://github.com/Keksuccino/FancyMenu/blob/master/LICENSE.md","Custom (LicenseRef)","https://modrinth.com/mod/fancymenu","ModrinthCustom"
"FarmersDelight-1.21.1-1.3.2.jar","False","","NeoForge","farmersdelight, neoforge, minecraft, crafttweaker","Farmer's Delight","1.3.2","vectorwing","Chloe Dawn, Grimmauld, CDAGaming, TelepathicGrunt, XFactHD, GizmoThemoonPig, ConductiveFoam, simibubi, MerchantPug, Jozufozu, bagel, Silk, SkySom, Eutro, RaymondBlaze and many others!","MIT License","MIT","Permissive","https://github.com/vectorwing/FarmersDelight","https://github.com/vectorwing/FarmersDelight/issues","","0","","","","False","","bf7e7dede99e832de20e191b1f6c11f7a9b9a622","v0.0.1-Alpha","R2OftAxM","farmers-delight","Farmer's Delight","MIT","MIT License","","Permissive","https://modrinth.com/mod/farmers-delight","Match"
"FastFurnace-1.21.1-9.0.1.jar","False","","NeoForge","fastfurnace, minecraft, neoforge, placebo","FastFurnace","9.0.1","Shadows_of_Fire","","MIT License","MIT","Permissive","","","","0","","","","False","","cb77b3bc40bb598cfc50773d491c9e1af06d3833","v0.0.1-Alpha","9X0318ev","fastfurnace","FastFurnace","MIT","MIT License","","Permissive","https://modrinth.com/mod/fastfurnace","Match"
"FastWorkbench-1.21.1-9.1.3.jar","False","","NeoForge","fastbench, minecraft, neoforge, placebo","Fast Workbench","9.1.3","Shadows_of_Fire","","MIT License","MIT","Permissive","","","","0","","","","False","","cfe55dc815979028d2a2211e26115dbd02273f87","v0.0.1-Alpha","5NYPwQRn","fastworkbench","FastWorkbench","MIT","MIT License","","Permissive","https://modrinth.com/mod/fastworkbench","Match"
"Female-Gender-Mod-neoforge-1.21-3.2.2.jar","False","","NeoForge","wildfire_gender, minecraft, neoforge","Wildfire's Female Gender Mod","3.2.2","WildfireRomeo","Archl, arcti_cc, Kichura, Powerless001, pupnewfster","LGPLv3","LGPL","Weak copyleft","https://www.curseforge.com/minecraft/mc-mods/female-gender-forge","https://github.com/WildfireRomeo/WildfireFemaleGenderMod/issues","","0","","","","False","","f2e4027d0943c04700173a97c88aaebb1f1777ad","v0.0.1-Alpha","bcOsQHnC","female-gender","Female Gender Mod","LGPL-3.0-only","GNU Lesser General Public License v3.0 only","","Weak copyleft","https://modrinth.com/mod/female-gender","Match"
"ferritecore-7.0.3-neoforge.jar","False","","NeoForge","ferritecore, neoforge, minecraft","Ferrite Core","7.0.3","malte0811","","MIT","MIT","Permissive","","","","0","","","","False","","9563692efb708b6b568df27a01ec52f6311928ef","v0.0.1-Alpha","uXXizFIs","ferrite-core","FerriteCore","MIT","MIT License","","Permissive","https://modrinth.com/mod/ferrite-core","Match"
"flickerfix-1.21.0.jar","False","","NeoForge","flickerfix, neoforge, minecraft","FlickerFix","4.0.1","","","All Rights Reserved","All Rights Reserved","ARR - check terms","","https://github.com/jeremiahwinsley/flickerfix","","0","","","","False","","8c0c7c55eeffc5e9c5ada17b650c32a4c1cd21da","v0.0.1-Alpha","KSyWOxT5","flickerfix","FlickerFix","MIT","MIT License","","Permissive","https://modrinth.com/mod/flickerfix","MISMATCH"
"FluxNetworks-1.21.1-8.0.0.jar","False","","NeoForge","fluxnetworks, neoforge, minecraft, modernui, jei, the_one_probe","Flux Networks","8.0.0","Sonar Sonic, BloCamLimb","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/flux-networks","https://github.com/SonarSonic/Flux-Networks/issues","","0","","","","False","","183342f454428084748f2784c8efd748664a9f9c","v0.0.1-Alpha","","","","","","","","","NotOnModrinth"
"forbidden_arcanus-2.6.1.jar","False","","NeoForge","forbidden_arcanus, neoforge, valhelsia_core","Forbidden Arcanus","2.6.1","","{mod_authors}","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","0","","","","False","","1de105be68b88de87a5e6749f320c790d550c120","v0.0.1-Alpha","MdlnLS7Q","forbidden-arcanus","Forbidden and Arcanus ","LicenseRef-All-Rights-Reserved","","","ARR - check terms","https://modrinth.com/mod/forbidden-arcanus","Match"
"forgified-fabric-api-0.116.7+2.2.4+1.21.1.jar","False","","NeoForge","fabric_api, neoforge, minecraft, forgified_fabric_api","Forgified Fabric API | Forgified Fabric API (dummy)","${file.jarVersion}","Sinytra, FabricMC","","Apache-2.0","Apache-2.0","Permissive","https://github.com/Sinytra/ForgifiedFabricAPI","https://github.com/Sinytra/ForgifiedFabricAPI/issues","","0","","","","False","","459b5f4c7297b2f7649d43137f3e5a069b69b707","v0.0.1-Alpha","Aqlf1Shp","forgified-fabric-api","Forgified Fabric API","Apache-2.0","Apache License 2.0","https://github.com/Sinytra/ForgifiedFabricAPI/blob/1.20.1/LICENSE","Permissive","https://modrinth.com/mod/forgified-fabric-api","Match"
"formations-1.0.4-neoforge-mc1.21.jar","False","","NeoForge","formations, neoforge, minecraft","Formations","1.0.4","SuperMartijn642","","All rights reserved","All Rights Reserved","ARR - check terms","https://legacy.curseforge.com/minecraft/mc-mods/formations","https://github.com/SuperMartijn642/Formations/issues","","0","","","","False","","3845f96c9304f6956688f7a35205e9354bf411b0","v0.0.1-Alpha","tPe4xnPd","formations","Formations (Structure Library)","LicenseRef-All-Rights-Reserved","","","ARR - check terms","https://modrinth.com/mod/formations","Match"
"formationsnether-1.0.5-mc1.21+.jar","False","","NeoForge","formationsnether, minecraft, formations","Formations Nether","1.0.5","SuperMartijn642","","All rights reserved","All Rights Reserved","ARR - check terms","https://legacy.curseforge.com/minecraft/mc-mods/formations-nether","https://github.com/SuperMartijn642/FormationsNether/issues","","0","","","","False","","12b69c1cd22bbbe8c5888a030bef791b992b0d39","v0.0.1-Alpha","cGvQGRls","formations-nether","Formations Nether","LicenseRef-All-Rights-Reserved","","","ARR - check terms","https://modrinth.com/mod/formations-nether","Match"
"formationsoverworld-1.0.5-mc1.21+.jar","False","","NeoForge","formationsoverworld, minecraft, formations","Formations Overworld","1.0.5","SuperMartijn642","","All rights reserved","All Rights Reserved","ARR - check terms","https://legacy.curseforge.com/minecraft/mc-mods/formations-overworld","https://github.com/SuperMartijn642/FormationsOverworld/issues","","0","","","","False","","edbc169c78f9f1cdf5233e996f12b21e7e1cdf18","v0.0.1-Alpha","KX1XC0Oo","formations-overworld","Formations Overworld","LicenseRef-All-Rights-Reserved","","","ARR - check terms","https://modrinth.com/mod/formations-overworld","Match"
"FramedBlocks-10.6.0.jar","False","","NeoForge","framedblocks, neoforge, minecraft, athena, atlasviewer, buildinggadgets, create, diagonalblocks, emi, jei, rei, amendments, ae2, searchables, additionalplacements","FramedBlocks","10.6.0","XFactHD","","LGPL v3","LGPL","Weak copyleft","https://www.curseforge.com/minecraft/mc-mods/framedblocks","https://www.github.com/xfacthd/framedblocks","","0","","","","False","","eb96e6983845daee8d6ac84544ba1df55d4a6fae","v0.0.1-Alpha","wbgfS34j","framedblocks","FramedBlocks","LGPL-3.0-only","GNU Lesser General Public License v3.0 only","","Weak copyleft","https://modrinth.com/mod/framedblocks","Match"
"framework-neoforge-1.21.1-0.13.11.jar","False","","NeoForge","framework, neoforge, minecraft","Framework","0.13.11","MrCrayfish","","LGPLv2.1","LGPL","Weak copyleft","https://mrcrayfish.com/mods?id=framework","","LICENSE_framework","1","LICENSE_framework","","","False","","e46eb138fbb13a12f37154fb4ec407d64b326475","v0.0.1-Alpha","","","","","","","","","NotOnModrinth"
"ftb-chunks-neoforge-2101.1.14.jar","False","","NeoForge","ftbchunks, neoforge, minecraft, architectury, ftblibrary, ftbteams, ftbbackups3","FTB Chunks","2101.1.14","FTB Team","","All Rights Reserved","All Rights Reserved","ARR - check terms","","https://go.ftb.team/support-mod-issues","","0","","","","False","","908b63b11d0e00ae6c9557d3fe6440bdbcf21bb7","v0.0.1-Alpha","","","","","","","","","NotOnModrinth"
"ftb-essentials-neoforge-2101.1.9.jar","False","","NeoForge","ftbessentials, neoforge, minecraft, ftblibrary, ftbranks, luckperms","FTB Essentials","2101.1.9","FTB Team","","All Rights Reserved","All Rights Reserved","ARR - check terms","","https://go.ftb.team/support-mod-issues","","0","","","","False","","7d6f274b38d767215549ec066246390c49ac7ad8","v0.0.1-Alpha","","","","","","","","","NotOnModrinth"
