"File","Nested","ContainerJar","Loader","ModIds","DisplayName","Version","Authors","Credits","LicenseDeclared","LicenseNormalized","LicenseCategory","Homepage","IssueTracker","BundledLicenseFiles","Sha1","PackVersion"
"open-parties-and-claims-neoforge-1.21.1-0.27.6.jar","False","","NeoForge","openpartiesandclaims, neoforge, minecraft, create","Open Parties and Claims","0.27.6","Xaero96 and other contributors","","GNU Lesser General Public License v3.0 (LGPL-3.0-only)","LGPL","Weak copyleft","https://www.curseforge.com/minecraft/mc-mods/open-parties-and-claims","https://github.com/thexaero/open-parties-and-claims/issues","LICENSE","90514af8a5b3c254f349d0b20490fd1fe65899e4","v0.0.1-Alpha"
"oritech-neoforge-1.21.1-1.2.8.jar","False","","NeoForge","oritech, neoforge, minecraft, architectury, athena, geckolib, oracle_index","Oritech","1.2.8","Me! - Rearth","","CC0-1.0","Public/Permissive","Permissive","","https://github.com/Rearth/Oritech/issues","","8e72b47adacbe8e250f707ed8f938b698f894681","v0.0.1-Alpha"
"owo-lib-neoforge-0.12.15.5-beta.1+1.21.jar","False","","NeoForge","owo, neoforge, minecraft","oωo","0.12.15.5-beta.1+1.21","glisco, Blodhgarm, BasiqueEvangelist, Noaaan","","MIT","MIT","Permissive","","","","48dda11a6710591cf162bdbedf982ea21dd1f2ed","v0.0.1-Alpha"
"packetfixer-3.3.1-1.20.5-1.21.X-merged.jar","False","","NeoForge","packetfixer, neoforge, minecraft","PacketFixer","3.3.1","TonimatasDEV","","MIT","MIT","Permissive","","https://github.com/TonimatasDEV/PacketFixer","","a8bb6e25807682e72c23bf4065f3cd5f6373ece3","v0.0.1-Alpha"
"pamhc2crops-NEOFORGE-1.21.1-1.0.0.jar","False","","NeoForge","pamhc2crops, neoforge, minecraft","Pam's HarvestCraft - Crops","1.0.0","Pamela Collins, ie MatrexsVigil, PamHarvestCraft","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","15f0bffa9f3c8c0868d29f9d33c75e586d55425d","v0.0.1-Alpha"
"pamhc2foodcore-NEOFORGE-1.21.1-1.0.2.jar","False","","NeoForge","pamhc2foodcore, neoforge, minecraft","Pam's HarvestCraft - Food Core","1.0.2","Pamela Collins, ie MatrexsVigil, PamHarvestCraft","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","aa757abe71467b1d39a6e40c0bfecac9ae3f1e14","v0.0.1-Alpha"
"pamhc2foodextended-NEOFORGE-1.21.1-1.0.0.jar","False","","NeoForge","pamhc2foodextended, neoforge, minecraft","Pam's HarvestCraft - Food Extended","1.0.0","Pamela Collins, ie MatrexsVigil, PamHarvestCraft","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","0cf7f668fdedef93446f33215484913991185102","v0.0.1-Alpha"
"pamhc2trees-NEOFORGE-1.21.1-1.0.4.jar","False","","NeoForge","pamhc2trees, neoforge, minecraft","Pam's HarvestCraft - Trees","1.0.4","Pamela Collins, ie MatrexsVigil, PamHarvestCraft","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","98ac1ede402d94efdc9e1d714591483e3c1e6025","v0.0.1-Alpha"
"Patchouli-1.21.1-93-NEOFORGE.jar","False","","NeoForge","patchouli, neoforge, minecraft","Patchouli","${file.jarVersion}","Vazkii","","CC BY-NC-SA 3.0","CC BY-NC-SA","CC (non-commercial)","","https://github.com/VazkiiMods/Patchouli","","5413bb9b8fc35ebe46b06b48bf9afafbd8471140","v0.0.1-Alpha"
"Paxi-1.21.1-NeoForge-5.1.3.jar","False","","NeoForge","paxi, minecraft, neoforge, yungsapi","Paxi","1.21.1-NeoForge-5.1.3","YUNGNICKYOUNG","Thanks so much to all my patrons!","LGPLv3","LGPL","Weak copyleft","https://www.curseforge.com/minecraft/mc-mods/paxi-neoforge","https://github.com/yungnickyoung/Paxi/issues","","7140974a26a2cd79cdc7b85ab4e834916eacc7f1","v0.0.1-Alpha"
"Placebo-1.21.1-9.9.1.jar","False","","NeoForge","placebo, minecraft, neoforge","Placebo","9.9.1","Shadows_of_Fire","","MIT License","MIT","Permissive","","","","40d33020762f4e03e5375acb6c6067aa76add7bb","v0.0.1-Alpha"
"player-animation-lib-forge-2.0.4+1.21.1.jar","False","","NeoForge","playeranimator, minecraft","Player Animator","2.0.4+1.21.1","KosmX","","MIT","MIT","Permissive","https://github.com/KosmX/minecraftPlayerAnimator","","","05be8ddcc78532b9a5520c718edc6c971cd0057c","v0.0.1-Alpha"
"pneumaticcraft-repressurized-8.2.20+mc1.21.1.jar","False","","NeoForge","pneumaticcraft, neoforge, minecraft, patchouli, jei, emi","PneumaticCraft: Repressurized","8.2.20","desht, MineMaarten","","GNU GPLv3","GPL","Strong copyleft","https://minecraft.curseforge.com/projects/pneumaticcraft-repressurized | https://www.curseforge.com/minecraft/mc-mods/pneumaticcraft-repressurized","https://github.com/TeamPneumatic/pnc-repressurized/issues","","19b3bdb7f2aa135b1d638ba2195968c443889ce5","v0.0.1-Alpha"
"ponderjs-neoforge-1.21.1-2.4.0.jar","False","","NeoForge","ponderjs, neoforge, minecraft, kubejs","PonderJS","1.21.1-2.4.0","AlmostReliable","Continuation of kotakotik22 mod.","MIT","MIT","Permissive","","https://github.com/AlmostReliable/ponderjs/issues","","9c35c5c31a613d58fc06e591e455bccfc3de6022","v0.0.1-Alpha"
"potentials-neoforge-1.21-0.7.1.jar","False","","NeoForge","potentials, neoforge, minecraft, architectury","Potentials","0.7.1","Fej1Fun","","MIT","MIT","Permissive","","https://github.com/Fej1Dev/Potentials/issues","","c2525c00049e1773a813ed240ac96914c01e0b3f","v0.0.1-Alpha"
